Date,Animal_ID,Use,D_forbs,Vegetation.cover,Vegetation.biomass,Heap.dung,Escape.impediment,Micro.habitat.type,Season,Rainfall,dist_rangerpost,dist_confluence,dist_road,dist_drainage,dist_river,Elevation,slope,TWI,Curvature,Tourism_footprint,Human_proximity,Tree_density,NDVI,dNDVI,dist_parkbound
7/11/2019,El_6666,0,1.4375,50,1.90E-06,0,4,Open woodland,Dry,3.488457441,6.651529899,2.612553188,11.98451388,2.277682026,2.983868332,1244.901489,0.516881407,15.58306122,3.00E-06,0.02754861,0.066835366,1.515466772,0.448653499,-0.00216637,-2.393813654
7/6/2019,El_6666,1,1.125,73.75,2.51E-06,0,1,Open woodland,Dry,0,4.939000405,3.302511591,9.169802907,2.416206043,4.101159159,1252.624878,0.46385625,15.34107113,1.00E-06,0.02765852,0.081694297,1.165266981,0.434074406,0.001148919,-3.472364612
7/6/2019,El_6666,0,1,17.5,7.24E-06,0,0,Long grassland,Dry,0,5.532056851,3.554057857,9.258847645,2.950191625,3.510289792,1252.624878,0.46385625,15.34107113,1.00E-06,0.02648004,0.081694297,0.291184651,0.404890686,1.84E-05,-3.761062084
7/6/2019,El_6666,0,0.75,5,5.35E-06,0,0,Long grassland,Dry,0,4.47409041,2.570310112,9.633806861,1.701775653,4.702767434,1258.79895,0.013326247,15.73593616,7.00E-06,0.02974747,0.081694297,0.320761903,0.425077938,-0.001516867,-2.754808523
7/6/2019,El_6666,0,1.0625,58.75,3.17E-06,0,2,Open woodland,Dry,0,4.569625477,2.508412162,9.747474957,1.721773878,4.648101069,1259.833374,0.126411325,15.73593616,1.20E-05,0.02974843,0.081694297,0.254340748,0.418980028,-0.001835236,-2.685615386
7/6/2019,El_6666,0,1.5625,18.75,8.37E-06,0,0,Long grassland,Dry,0,4.549181245,2.440882848,9.801558349,1.663793641,4.693369424,1259.833374,0.126411325,15.73593616,1.20E-05,0.02974843,0.081694297,0.3460624,0.418980028,-0.001835236,-2.618486013
7/8/2019,El_6666,1,2.6875,48.75,7.59E-06,0,0,Open woodland,Dry,2.58069706,3.27599649,3.204823127,8.705053172,1.355719488,5.744141373,1255.228516,0.323446303,16.71634102,3.00E-06,0.03222307,0.081694297,0.644449305,0.442224883,-0.001288144,-3.441590911
7/8/2019,El_6666,0,1.6875,32.5,8.37E-06,0,0,Open woodland,Dry,2.58069706,2.914129887,3.115501248,8.829743721,0.984126594,6.109034096,1255.228516,0.323446303,16.71634102,3.00E-06,0.03320238,0.081694297,0.327696561,0.451648161,-0.001519423,-3.343113597
7/8/2019,El_6666,0,4.4375,17.5,8.37E-06,0,0,Open woodland,Dry,2.58069706,3.886658848,3.746933081,8.218629958,2.110673791,5.192192278,1258.802612,0.125105539,15.58521366,5.00E-06,0.02956467,0.081694297,0.38023205,0.432369642,0.001990953,-3.96924804
7/8/2019,El_6666,0,3.5,32.5,3.72E-06,0,0,Open woodland,Dry,2.58069706,3.592017957,4.00557939,7.910318543,1.972066557,5.577105891,1261.400757,0.137178818,15.58521366,6.00E-06,0.03018215,0.081694297,0.622736407,0.451038018,0.000643108,-4.006047558
7/8/2019,El_6666,0,6.0625,21.25,4.43E-06,0,0,Open woodland,Dry,2.58069706,3.586084913,4.04398538,7.870871334,1.979414249,5.598000457,1261.400757,0.137178818,15.58521366,6.00E-06,0.03018215,0.081694297,0.443297273,0.451038018,0.000643108,-3.978449954
3/21/2020,El_6661,1,3.625,10,0.000133873,0,0,Short grassland,Wet,0,11.46188763,12.26832441,2.839632961,10.07923067,45.00637543,1648.947998,0.20841517,11.91641521,1.00E-06,0.01779036,0.027891159,-0.290330624,0.660169899,-0.002399229,4.14052697
3/21/2020,El_6661,0,4.1875,7.5,6.83E-05,1,0,Short grassland,Wet,0,11.74979055,12.45415385,2.033040786,9.196123774,45.30311575,1650.986084,0.221306181,12.73400688,1.00E-06,0.017104,0.027891159,-0.223192568,0.558550537,-0.002160836,4.230434257
3/21/2020,El_6661,0,1.1875,12.5,0.000133873,1,0,Short grassland,Wet,0,11.07063309,12.38630143,3.36567806,10.82447575,44.57810958,1648.947998,0.20841517,13.6561327,1.00E-06,0.01842717,0.025937004,-0.294558244,0.688373923,-0.002192382,4.287795277
3/21/2020,El_6661,0,0.5,15,0.00027321,1,0,Short grassland,Wet,0,11.01188199,12.47181759,3.263515419,10.77245088,44.5265493,1648.947998,0.20841517,13.6561327,1.00E-06,0.01830434,0.025937004,-0.300392781,0.688373923,-0.002192382,4.372476684
3/21/2020,El_6661,0,3,0,9.30E-05,1,0,Short grassland,Wet,0,12.12699237,11.52625431,3.307021984,10.06032115,45.65475326,1644.012817,0.196393951,12.55897713,-1.00E-06,0.01802176,0.027891159,-0.268518557,0.643772125,-0.000730757,3.401448994
3/23/2020,El_6661,1,2.375,17.5,5.23E-05,0,0,Short grassland,Wet,0,7.957114301,16.20262559,0.526580244,11.16862727,41.45208914,1664.056519,0.307475976,14.49839401,-1.00E-06,0.01748578,0.022425333,-0.210773759,0.679140754,-0.005816128,8.08053229
3/23/2020,El_6661,0,3,20,0.000209176,0,0,Short grassland,Wet,0,7.777737782,16.35582839,0.492193502,11.31517938,41.27240118,1664.002441,0.260362567,14.49839401,-4.00E-06,0.01740495,0.022425333,-0.207129253,0.688324809,-0.006125867,8.2384044
3/23/2020,El_6661,0,2.6875,18.75,9.30E-05,0,0,Short grassland,Wet,0,7.880264526,16.38872692,0.31127896,11.12989958,41.35050435,1664.056519,0.307475976,14.49839401,-1.00E-06,0.01726012,0.022425333,-0.1611884,0.665611483,-0.005347174,8.259271349
3/23/2020,El_6661,0,0.6875,26.25,0.000133873,0,0,Short grassland,Wet,0,7.693942098,16.71012548,0.017044061,11.16772462,41.12491143,1669.09375,0.320668528,13.68198109,-2.00E-06,0.01718185,0.022425333,-0.119085281,0.661685765,-0.00474599,8.573386726
3/23/2020,El_6661,0,1.125,20,6.83E-05,0,0,Short grassland,Wet,0,8.389208366,15.92566404,0.462343699,10.74028434,41.86792077,1664.056519,0.307475976,12.18291378,-1.00E-06,0.01719768,0.022425333,-0.227136929,0.719208911,-0.00826063,7.781169781
3/25/2020,El_6661,1,1.5625,10,5.95E-05,0,0,Short grassland,Wet,0,5.868918981,17.49774188,0.618114474,12.09689748,39.41366193,1674.916748,0.212108093,12.88457394,0,0.01852254,0.022425333,-0.153270459,0.684428886,-0.002905633,9.625707051
3/25/2020,El_6661,0,1.625,26.25,6.83E-05,0,0,Short grassland,Wet,0,5.679621554,17.62489526,0.575713451,11.96239825,39.22546313,1674.916748,0.212108093,12.88457394,0,0.01846963,0.022425333,-0.248926751,0.668346822,-0.002627477,9.785100328
3/25/2020,El_6661,0,2.6875,31.25,5.95E-05,0,0,Short grassland,Wet,0,5.420880002,17.91570176,0.392496799,11.90942889,38.9573199,1674.916748,0.212108093,12.88457394,0,0.01860844,0.022425333,-0.260270919,0.659611046,-0.002729774,10.08440401
3/25/2020,El_6661,0,1.6875,10,6.83E-05,0,0,Short grassland,Wet,0,5.240715982,18.21912681,0.135821121,11.97794968,38.75367572,1678.971436,0.21908088,12.88457394,2.00E-06,0.01856921,0.022425333,-0.220121983,0.688416421,-0.007579148,10.36714793
3/25/2020,El_6661,0,2.1875,17.5,5.95E-05,0,0,Short grassland,Wet,0,5.435984272,17.54882723,0.930808893,11.49519077,38.99153003,1674.916748,0.212108093,12.88457394,0,0.01887626,0.022425333,-0.27262428,0.741975993,-0.006943963,9.824228369
3/28/2020,El_6661,1,1,31.25,6.83E-05,2,0,Short grassland,Wet,0,6.690238636,15.90873343,2.417274241,11.32523556,40.14562161,1671.861084,0.282663135,11.73528099,6.00E-06,0.01934746,0.022425333,-0.201594105,0.545226313,-0.002268232,8.285139288
3/28/2020,El_6661,0,1.3125,27.5,6.83E-05,0,0,Short grassland,Wet,0,6.430491272,16.25760612,2.060580548,11.3887125,39.92494657,1671.861084,0.282663135,11.73528099,6.00E-06,0.01901873,0.022425333,-0.212071977,0.565401066,-0.003274161,8.60240547
3/28/2020,El_6661,0,4,13.75,1.71E-05,0,0,Short grassland,Wet,0,6.359381181,16.46475607,1.777701301,11.58093335,39.88514892,1673.862671,0.230265109,11.90044975,3.00E-06,0.01894082,0.022425333,-0.243382448,0.627934664,-0.00205037,8.756215448
3/28/2020,El_6661,0,1.8125,6.25,4.63E-05,1,0,Short grassland,Wet,0,5.89798313,16.82305928,1.642722801,11.25967137,39.41937004,1673.862671,0.230265109,11.90044975,3.00E-06,0.01903136,0.022425333,-0.205087027,0.651681878,-0.002340116,9.172440258
3/28/2020,El_6661,0,2.0625,18.75,0.000110639,1,0,Short grassland,Wet,0,5.750648746,16.76542181,1.968778559,10.84092216,39.22151395,1675.937256,0.14136969,12.28229046,6.00E-06,0.01941121,0.022425333,-0.243559665,0.60197828,-0.003946282,9.202392443
3/17/2020,El_6661,1,1.125,0,0.000133873,0,0,Short grassland,Wet,0,15.46084167,11.99049741,0.89076893,4.515085887,48.69681576,1639.758789,0.356819492,10.45940304,4.00E-06,0.01484076,0.047946006,0.213605429,0.682977408,-0.003278859,2.022797874
3/17/2020,El_6661,0,0.5625,20,0.000165275,0,0,Short grassland,Wet,0,15.64103146,11.80093101,0.732343182,4.510869439,48.90109656,1639.758789,0.356819492,12.24185181,4.00E-06,0.01481667,0.047946006,0.23356537,0.671698347,-0.003177557,1.877894687
3/17/2020,El_6661,0,4,3.75,0.000209176,0,0,Short grassland,Wet,0,15.68716482,11.71684306,0.098414541,4.98910718,49.03988813,1639.758789,0.356819492,13.35356998,4.00E-06,0.01504003,0.047946006,0.221805375,0.663335651,-0.002387471,1.933138079
3/17/2020,El_6661,0,3.5625,42.5,2.53E-05,0,0,Short grassland,Wet,0,16.04414675,11.39043614,0.525751713,4.461311791,49.33767164,1631.71106,0.500914015,12.24185181,1.00E-06,0.01479125,0.047946006,0.191066966,0.677265704,-0.001868978,1.535628899
3/17/2020,El_6661,0,3.9375,15,6.83E-05,0,0,Short grassland,Wet,0,14.7087406,12.790134,1.327338495,4.736097206,47.86793466,1639.703491,0.399124062,11.06793308,4.00E-06,0.01481588,0.023652598,0.245327698,0.718636766,-0.003281374,2.676528334
3/18/2020,El_6661,1,8.5625,25,0.000133873,0,0,Short grassland,Wet,33.96028137,12.17745359,14.31461988,0.925475939,6.857429543,45.40426729,1652.89917,0.34721481,11.94826794,0,0.01534114,0.023652598,0.306185218,0.627930287,-0.005454998,5.189711674
3/18/2020,El_6661,0,2.5,7.5,0.000209176,0,0,Short grassland,Wet,33.96028137,12.32955749,13.97794982,0.640857389,6.891466967,45.61074606,1652.89917,0.34721481,11.94826794,0,0.01542345,0.023652598,0.210248838,0.613264948,-0.008100837,5.093886063
3/18/2020,El_6661,0,2.375,22.5,9.30E-05,1,0,Short grassland,Wet,30.47974968,12.90121781,13.45144741,0.432133129,6.594924465,46.21809087,1646.954468,0.208564413,12.57439995,0,0.01539192,0.023652598,0.157527585,0.677942418,-0.002850719,4.581077672
